id	store_code	quantity	availability	price
487	11072484000919481729	999	in stock	129.89 PLN
488	11072484000919481729	999	in stock	109.89 PLN
489	11072484000919481729	0	out of stock	119.89 PLN
525	11072484000919481729	999	in stock	529.89 PLN
526	11072484000919481729	999	in stock	64.89 PLN
528	11072484000919481729	999	in stock	108.89 PLN
529	11072484000919481729	999	in stock	149.89 PLN
530	11072484000919481729	999	in stock	116.89 PLN
532	11072484000919481729	999	in stock	138.89 PLN
536	11072484000919481729	999	in stock	86.89 PLN
538	11072484000919481729	999	in stock	86.89 PLN
539	11072484000919481729	999	in stock	86.89 PLN
553	11072484000919481729	999	in stock	369.89 PLN
559	11072484000919481729	999	in stock	399.89 PLN
574	11072484000919481729	999	in stock	424.89 PLN
623	11072484000919481729	999	in stock	67.89 PLN
630	11072484000919481729	999	in stock	78.89 PLN
632	11072484000919481729	0	out of stock	68.89 PLN
634	11072484000919481729	999	in stock	59.89 PLN
642	11072484000919481729	0	out of stock	64.89 PLN
643	11072484000919481729	0	out of stock	69.89 PLN
645	11072484000919481729	999	in stock	399.89 PLN
648	11072484000919481729	999	in stock	429.89 PLN
667	11072484000919481729	0	out of stock	649.89 PLN
668	11072484000919481729	0	out of stock	269.89 PLN
669	11072484000919481729	0	out of stock	269.89 PLN
670	11072484000919481729	0	out of stock	439.89 PLN
671	11072484000919481729	999	in stock	488.89 PLN
673	11072484000919481729	999	in stock	328.89 PLN
674	11072484000919481729	0	out of stock	449.89 PLN
675	11072484000919481729	999	in stock	668.89 PLN
676	11072484000919481729	999	in stock	428.89 PLN
677	11072484000919481729	999	in stock	1189.89 PLN
683	11072484000919481729	999	in stock	2499.89 PLN
684	11072484000919481729	999	in stock	689.89 PLN
685	11072484000919481729	999	in stock	659.89 PLN
686	11072484000919481729	999	in stock	329.89 PLN
687	11072484000919481729	999	in stock	429.89 PLN
688	11072484000919481729	999	in stock	743.89 PLN
689	11072484000919481729	999	in stock	719.89 PLN
690	11072484000919481729	999	in stock	869.89 PLN
691	11072484000919481729	999	in stock	459.89 PLN
692	11072484000919481729	999	in stock	419.89 PLN
693	11072484000919481729	999	in stock	1699.89 PLN
696	11072484000919481729	999	in stock	889.89 PLN
698	11072484000919481729	999	in stock	329.89 PLN
709	11072484000919481729	999	in stock	499.89 PLN
711	11072484000919481729	999	in stock	509.89 PLN
712	11072484000919481729	999	in stock	509.89 PLN
714	11072484000919481729	999	in stock	599.89 PLN
715	11072484000919481729	999	in stock	499.89 PLN
718	11072484000919481729	999	in stock	529.89 PLN
719	11072484000919481729	999	in stock	539.89 PLN
720	11072484000919481729	999	in stock	699.89 PLN
721	11072484000919481729	999	in stock	549.89 PLN
722	11072484000919481729	999	in stock	529.89 PLN
723	11072484000919481729	999	in stock	529.89 PLN
724	11072484000919481729	999	in stock	529.89 PLN
725	11072484000919481729	999	in stock	529.89 PLN
726	11072484000919481729	999	in stock	539.89 PLN
727	11072484000919481729	999	in stock	539.89 PLN
728	11072484000919481729	0	out of stock	599.89 PLN
729	11072484000919481729	999	in stock	568.89 PLN
730	11072484000919481729	999	in stock	729.89 PLN
732	11072484000919481729	999	in stock	589.89 PLN
733	11072484000919481729	999	in stock	558.89 PLN
734	11072484000919481729	999	in stock	569.89 PLN
735	11072484000919481729	0	out of stock	464.89 PLN
736	11072484000919481729	999	in stock	524.89 PLN
739	11072484000919481729	999	in stock	599.89 PLN
740	11072484000919481729	999	in stock	599.89 PLN
741	11072484000919481729	999	in stock	599.89 PLN
742	11072484000919481729	999	in stock	589.89 PLN
743	11072484000919481729	999	in stock	587.89 PLN
746	11072484000919481729	999	in stock	579.89 PLN
747	11072484000919481729	999	in stock	599.89 PLN
748	11072484000919481729	999	in stock	589.89 PLN
749	11072484000919481729	999	in stock	599.89 PLN
750	11072484000919481729	999	in stock	599.89 PLN
751	11072484000919481729	999	in stock	629.89 PLN
752	11072484000919481729	0	out of stock	599.89 PLN
753	11072484000919481729	0	out of stock	599.89 PLN
755	11072484000919481729	999	in stock	569.89 PLN
758	11072484000919481729	999	in stock	619.89 PLN
759	11072484000919481729	999	in stock	629.89 PLN
761	11072484000919481729	999	in stock	749.89 PLN
762	11072484000919481729	999	in stock	649.89 PLN
763	11072484000919481729	0	out of stock	799.89 PLN
764	11072484000919481729	0	out of stock	668.89 PLN
765	11072484000919481729	999	in stock	709.89 PLN
766	11072484000919481729	999	in stock	689.89 PLN
767	11072484000919481729	999	in stock	689.89 PLN
768	11072484000919481729	999	in stock	639.89 PLN
771	11072484000919481729	999	in stock	669.89 PLN
772	11072484000919481729	999	in stock	699.89 PLN
773	11072484000919481729	999	in stock	739.89 PLN
775	11072484000919481729	999	in stock	739.89 PLN
779	11072484000919481729	999	in stock	869.89 PLN
780	11072484000919481729	999	in stock	859.89 PLN
781	11072484000919481729	0	out of stock	909.89 PLN
784	11072484000919481729	999	in stock	899.89 PLN
785	11072484000919481729	999	in stock	959.89 PLN
786	11072484000919481729	999	in stock	889.89 PLN
787	11072484000919481729	999	in stock	1099.89 PLN
788	11072484000919481729	999	in stock	1029.89 PLN
789	11072484000919481729	999	in stock	1299.89 PLN
794	11072484000919481729	999	in stock	234.89 PLN
795	11072484000919481729	999	in stock	499.89 PLN
796	11072484000919481729	999	in stock	139.89 PLN
797	11072484000919481729	999	in stock	219.89 PLN
798	11072484000919481729	999	in stock	209.89 PLN
799	11072484000919481729	999	in stock	599.89 PLN
800	11072484000919481729	999	in stock	249.89 PLN
802	11072484000919481729	999	in stock	144.89 PLN
803	11072484000919481729	999	in stock	214.89 PLN
806	11072484000919481729	999	in stock	499.89 PLN
807	11072484000919481729	999	in stock	729.89 PLN
808	11072484000919481729	999	in stock	119.89 PLN
809	11072484000919481729	999	in stock	109.89 PLN
811	11072484000919481729	999	in stock	124.89 PLN
812	11072484000919481729	999	in stock	229.89 PLN
813	11072484000919481729	999	in stock	139.89 PLN
814	11072484000919481729	999	in stock	139.89 PLN
815	11072484000919481729	999	in stock	269.89 PLN
816	11072484000919481729	999	in stock	179.89 PLN
818	11072484000919481729	999	in stock	124.89 PLN
822	11072484000919481729	999	in stock	289.89 PLN
824	11072484000919481729	999	in stock	159.89 PLN
825	11072484000919481729	999	in stock	158.89 PLN
826	11072484000919481729	999	in stock	189.89 PLN
830	11072484000919481729	999	in stock	149.89 PLN
831	11072484000919481729	999	in stock	299.89 PLN
832	11072484000919481729	999	in stock	269.89 PLN
833	11072484000919481729	999	in stock	139.89 PLN
835	11072484000919481729	999	in stock	599.89 PLN
836	11072484000919481729	999	in stock	154.89 PLN
838	11072484000919481729	999	in stock	169.89 PLN
840	11072484000919481729	999	in stock	72.89 PLN
841	11072484000919481729	999	in stock	129.89 PLN
842	11072484000919481729	999	in stock	119.89 PLN
843	11072484000919481729	999	in stock	129.89 PLN
846	11072484000919481729	999	in stock	206.89 PLN
853	11072484000919481729	999	in stock	146.89 PLN
854	11072484000919481729	999	in stock	146.89 PLN
856	11072484000919481729	999	in stock	146.89 PLN
857	11072484000919481729	999	in stock	158.89 PLN
859	11072484000919481729	999	in stock	129.89 PLN
862	11072484000919481729	999	in stock	237.89 PLN
864	11072484000919481729	999	in stock	146.89 PLN
865	11072484000919481729	999	in stock	146.89 PLN
866	11072484000919481729	0	out of stock	146.89 PLN
867	11072484000919481729	999	in stock	146.89 PLN
868	11072484000919481729	999	in stock	259.89 PLN
869	11072484000919481729	999	in stock	207.89 PLN
870	11072484000919481729	999	in stock	246.89 PLN
871	11072484000919481729	999	in stock	344.89 PLN
876	11072484000919481729	999	in stock	169.89 PLN
877	11072484000919481729	999	in stock	314.89 PLN
878	11072484000919481729	999	in stock	184.89 PLN
879	11072484000919481729	999	in stock	184.89 PLN
880	11072484000919481729	999	in stock	619.89 PLN
882	11072484000919481729	999	in stock	189.89 PLN
883	11072484000919481729	0	out of stock	779.89 PLN
884	11072484000919481729	999	in stock	729.89 PLN
886	11072484000919481729	999	in stock	138.89 PLN
890	11072484000919481729	0	out of stock	146.89 PLN
893	11072484000919481729	999	in stock	124.89 PLN
